camping_id,nama_camping,deskripsi,lokasi,jalan,kecamatan,kota,provinsi,jam buka,harga,jumlah_review,rating,latitude,longitude
C0012,Ranca Upas Camping Ground,"Ranca upas adalah camping ground yang ramah keluarga, ada penangkaran rusa, hingga hutan pinus dan danau semuanya ada di sini. Ada beberapa objek wisata terkenal di sekitar Ranca Upas, seperti Perkebunan Teh Rancabali, Curug Awi Langit, dan Kawah Putih.","Jl. Raya Ciwidey Patengan, Patengan, Kec. Rancabali, Bandung, Jawa Barat",Jl. Raya Ciwidey - Patengan,Rancabali,Bandung,Jawa Barat,24 jam,25000,"12,591",2.5,-7.14104,107.3957
C0013,Taman Langit Pangalengan,"Tempat camping ini adalah tujuan sempurna untuk merasakan pesona alam yang tidak terhingga, sambil menikmati waktu berkemah yang tak terlupakan.","Jl. Puncak Mulya, Jl. Cukul, Sukaluyu, Pangalengan, Kabupaten Bandung, Jawa Barat",Jl. Kp Puncak Mulya,Pangalengan,Bandung,Jawa Barat,24 jam,35000,"3,353",4.7,-7.2312,107.5266
C0014,Gunung Putri Lembang,"Gunung Putri Lembang memiliki langit biru, udara dingin, dan pohon pinus yang membentang sejauh mata memandang, itu yang akan kamu rasakan di Gunung Putri Lembang. Tapi ada lebih dari itu, ada beberapa daya tarik yang membuat tempat ini benar-benar spesial.","Jl. Gunung Putri, Jayagiri, Lembang, Kabupaten Bandung Barat, Jawa Barat",Jl. Gunung Putri,Lembang,Bandung,Jawa Barat,24 jam,20000,"2,849",4.6,-6.79785,107.634
C0015,Bukit Moko,"Bukit Moko, tak hanya sekadar bukit, tetapi sebuah surga bagi para pecinta alam dan fotografi.","Jl. Cimenyan, Kec. Jl. Cimenyan, Kabupaten Bandung, Jawa Barat",Jl. Cimenyan,Cimenyan,Bandung,Jawa Barat,24 jam,25000,"5,694",4.5,-6.84201,107.6768
C0016,Pineus Tilu CampGround,"Pineus Tilu selalu terbuka untuk menyambut kamu yang ingin berpetualang dan merasakan sensasi berkemah di hutan pinus. Bukan hanya itu, Pineus Tilu juga menawarkan paket camping yang sudah termasuk fasilitas lengkap.","Jl. Pulosari, Kec. Pangalengan, Kabupaten Bandung, Jawa Barat",Jl. Pulosari,Pangalengan,Bandung,Jawa Barat,24 jam,650000,929,4.6,-7.18176,107.545
C0017,Wisata Batu Kuda,"Yang ingin merasakan sensasi berkemah tetapi malas menanjak, Wisata Batu Kuda adalah pilihan bersahabat. Area perkemahan tidak jauh dari parkiran dan cukup luas, sehingga kamu tidak perlu takut kehabisan tempat.","Jl. Cibiru Wetan, Kec. Cileunyi, Kabupaten Bandung, Jawa Barat",Jl. Cibiru Wetan,Cileunyi,Bandung,Jawa Barat,24 jam,10000,"3,390",4.5,-6.89294,107.7453
C0018,Green Grass Cikole,"Green Grass Cikole adalah tempat yang tepat untuk dikunjungi untuk melihat langit berbintang saat malam hari, di tengah hutan pinus, dengan udara sejuk yang menenangkan.","Jl. Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat",Jl. Cikole,Lembang,Bandung,Jawa Barat,24 jam,30000,814,4.6,-6.78379,107.6483
C0019,Cantigi Camp,"Cantigi Camp merupakan tempat favorit untuk camping dan outbond. Kita dapat mendirikan kemah di lokasi tersebut. Udara yang dingin dan juga bentang alam yang indah akan membuat kamu merasa damai. Terdapat pula fasilitas seperti toilet, musala, dan kedai-kedai makanan.","Jl. Raya Cileunyi, Manjah Beureum, Cileunyi, Bandung, Jawa Barat",Jl. Raya Cileunyi,Cileunyi,Bandung,Jawa Barat,Sabtu - Kamis: 08.00 - 16.00,15000,"1,512",4.5,-6.91492,107.7501
C0020,Pine Forest Camp,"Pine Forest Camp, sebuah tempat yang didirikan oleh alumni pramuka SMA 5 Bandung pada bulan September 2003, adalah surga bagi kamu yang ingin “menghilang” sejenak dari kebisingan perkotaan. Berada di ketinggian 1.200 meter dpl, udaranya sejuk dan penuh dengan keasrian alam.","Jl. Suntenjaya, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat",Jl. Suntenjaya,Lembang,Bandung,Jawa Barat,24 jam,700000,265,4.4,-6.81524,107.694
C0021,Terminal Wisata Grafika Cikole(TWGC),"Terminal Wisata Grafika Cikole. Terletak di kaki gunung dengan ketinggian 1.400 meter di atas permukaan laut, tempat ini adalah surga bagi para pencinta alam dan petualangan di area Lembang, Bandung.","Jl. Raya Tangkuban Parahu, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat",Jl. Raya Tangkuban Parahu,Lembang,Bandung,Jawa Barat,Senin - Jumat: 08.00 - 16.00,460000,"16,427",4.4,-6.78498,107.6516
C0022,Bumi Perkemahan Ranca Cangkuang PPTK Gambung,Ranca Cakuang berada di lembah perbukitan dengan pemandangan dataran tinggi panoramik. Lahannya ditumbuhi oleh pohon-pohon palem atau cakuang. Hal ini membuat suasana menjadi semakin teduh.,"Jl. Mekarsari, Pasirjambu, Bandung, Jawa Barat",Jl. Mekarsari,Pasirjambu,Bandung,Jawa Barat,06.00 - 23.00,165000,48,4.4,-7.13267,107.505
C0023,Punceling Pas Camping Ground & Hot Spring,"Di Punceling Pas Camping Ground bisa menikmati fasilitas kolam rendam air panas. Walaupun ukurannya tidak terlalu besar, tetapi kolam ini menggunakan sumber alami. Khasiatnya pun dapat diandalkan.","Jl. Lebakmuncang, Ciwidey, Bandung, Jawa Barat",Jl. Lebakmuncang,Ciwidey,Bandung,Jawa Barat,08.00 - 17.00,300000,425,4.4,-7.14139,107.4145
C0024,Bale Bambu Adventure Resort,Resort dan camping site ini memberikan kamu akses ke berbagai aktivitas penuh petualangan. Bale Bambu juga sering mengadakan kegiatan outdoor bagi semua kalangan.,"Jl. Raya Soreang, Ciwidey, Kec. Bandung, Jawa Barat",Jl. Raya Soreang,Ciwidey,Bandung,Jawa Barat,08.00 - 20.00,200000,447,4.6,-7.04943,107.4989
C0025,Hejo Forest,"Hejo Forest dikelilingi oleh perbukitan dan pepohonan tinggi. Cuacanya cukup dingin di sana, bahkan pada siang bolong sekali pun. Lokasinya pun dekat dengan Kawah Putih dan Situ Patenggang.","Jl. Patengan, Rancabali, Bandung, Jawa Barat",Jl. Patengan,Rancabali,Bandung,Jawa Barat,24 jam,200000,397,4.4,-7.14294,107.3918
C0026,Cozyland Camping Ground,"Cozyland Camping Ground adalah destinasi wisata alam yang siap memberikan pengalaman camping yang tak terlupakan. Dengan suasana khas hutan pinus dan udara sejuk pegunungan, tempat ini menjanjikan kedamaian yang sulit kamu temukan di kota besar.","Jl. Genteng, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat",Jl. Genteng,Lembang,Bandung Barat,Jawa Barat,24 jam,25000,365,4.6,-6.78152,107.6442
C0027,Orchid Forest Cikole,"Orchid Forest Cikole dapat menjadi salah satu destinasi wisata yang wajib untuk dikunjungi, khususnya bagi pencinta bunga anggrek. Sebab, di tempat ini Anda dapat melihat beragam jenis tanaman anggrek. Taman yang berdiri sejak Agustus 2017 ini memiliki luas sekitar 12 hektare dan disebut-sebut sebagai taman anggrek terbesar di Indonesia. Orchid Forest Cikole memiliki 157 jenis bunga anggrek beraneka bentuk dan warna yang berasal dari seluruh penjuru dunia.","Jl. Genteng, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat",Jl. Genteng,Lembang,Bandung Barat,Jawa Barat,Setiap hari: 09.00 - 18.00,450000,"29,518",4.6,-6.78022,107.6375
C0028,Jungle Milk Jayagiri,"Melarikan Diri ke Pelukan Alam. Jungle Milk Jayagiri adalah tujuan ekowisata menawan yang terletak di tengah rimbunnya hutan pinus Lembang, Bandung. Permata tersembunyi ini menawarkan perpaduan unik antara keindahan alam, aktivitas mendebarkan, dan suasana tenang, menjadikannya tempat pelarian sempurna bagi pecinta alam, pencari petualangan, dan keluarga.","Jl. Genteng, Jayagiri, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat",Jl. Genteng,Lembang,Bandung Barat,Jawa Barat,24 jam,125000,2,2.5,-6.77653,107.6247
C0029,Cikole Camp Park,"Cikole Camp Park adalah sebuah tempat wisata alam. Tempat ini menawarkan keindahan alam yang asri dan sejuk, serta berbagai fasilitas dan aktivitas yang menarik untuk pengunjung. Cikole Camp Park memiliki luas sekitar 5 hektar dan terletak di tengah-tengah hutan pinus yang lebat. Tempat ini memiliki udara yang sejuk dan segar, serta pemandangan alam yang indah. Pengunjung dapat menikmati pemandangan hutan pinus, pegunungan, dan perkebunan teh dari tempat ini.","Jl. Cikole, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat",Jl. Cikole,Lembang,Bandung Barat,Jawa Barat,Setiap hari: 08.00 - 16.00,25000,418,4.6,-6.78184,107.6499
C0030,Sunrise Point CUKUL,"Sunrise di tempat ini memiliki keindahan lokasi wisata inilah yang juga menarik banyak komunitas fotografi. Mereka kerap mendirikan tenda untuk berburu foto-foto cantik pada malam dan pagi hari. Beberapa komunitas juga menyelenggarakan paket wisata fotografi. Sehingga, para peserta tak hanya dapat mengabadikan pemandangan indah. Mereka juga akan mendapatkan paket makanan dan akomodasi berupa tenda.","Jl. Cukul, Sukaluyu, Kec. Pangalengan, Bandung, Jawa Barat",Jl. Cukul,Pangalengan,Bandung,Jawa Barat,Senin - Jumat 05.00 - 17.00 Jumat - Minggu 24 jam,40000,"4,163",4.7,-7.23347,107.5344
C0031,Situ Cileunca,"View situ alias danau yang cantik adalah magnet bagi wisatawan. Kabar baiknya, kamu bisa camping di dekatnya!","Jl. Situ Cileunca, Danau Pangalengan, Wanasari, Bandung Selatan, Jawa Barat",Jl. Situ Cileunca,Pangalengan,Bandung,Jawa Barat,Setiap hari : 07.00 - 17.00,225000,"2,501",4.6,-7.19483,107.5459
C0032,Hutan Pinus Rahong,"Dari pusat kota Pangalengan, jarak Hutan Pinus Rahong hanya sekitar 9 km. Daerah ini juga mudah diakses oleh kendaraan roda empat. Jadi, tak mengherankan apabila banyak keluarga yang pergi berpiknik ke sana.","Jl. Pulosari, Pangalengan, Bandung, Jawa Barat",Jl. Pulosari,Pangalengan,Bandung,Jawa Barat,Senin - Jumat 06.30 - 18.00,20000,"1,501",4.5,-7.18047,107.5476
C0033,Cileunca Lakeside,"Cileunca Lakeside memiliki slogan one stop adventure. Sehingga, ada banyak kegiatan kelompok yang dapat kamu lakukan di sana. Contohnya, seperti off road atau mountain biking, dan paintball. Buat kamu yang suka dengan aktivitas air, ada pula kayaking dan rafting.","Jl. Kp Parabon Desa Wanasari, Kec. Pangalengan, Bandung Selatan, Jawa Barat",Jl. Kp Parabon,Pangalengan,Bandung,Jawa Barat,Senin - Jumat 08.00 - 7.00,225000,636,4.5,-7.19693,107.5461
C0034,Artapela Hill,"Artapella Hill adalah sebuah gunung yang terletak di perbatasan Pangalengan-Kartasari. Ketinggiannya mencapai 2.194 meter, sehingga udaranya cukup dingin. Namun, medan gunung ini tidak terlalu berat untuk didaki.","Jl. Sukapura, Kertasari, Bandung, Jawa Barat",Jl. Sukapura,Kertasari,Bandung,Jawa Barat,Senin - Jumat 24 jam,5000,348,4.5,-7.17345,107.6544
C0035,Datar Pinus Camp,"Kawasan akomodasi wisata ruang terbuka ini dikhususkan bagi kamu yang ingin menjajal wisata outdoor. Dibandingkan dengan mendirikan tenda di gunung atau bukit, berkemah di sini lebih mudah. Topografinya pun cenderung datar. Jadi, buat kamu yang merupakan pemula dalam wisata alam, inilah tempat “latihan” yang tepat. Terlebih, mobil bisa diparkir di dekat tenda.","Jl. Pulosari, Pangalengan, Bandung, Jawa Barat",Jl. Pulosari,Pangalengan,Bandung,Jawa Barat,Senin - Jumat 08.00 - 17.00 Sabtu - Minggu 24 jam,75000,383,4.6,-7.18518,107.5498
C0036,Citere Camping Ground (Tms Production),"Citere Camping Ground menyediakan area berkemah di dekat Situ Cileunca. Pada malam hari, suasana begitu menentramkan. Taburan bintang di atas langit menyinari kemilau air situ. Ada banyak aktivitas yang bisa kamu lakukan di sana. Yang paling menarik adalah naik perahu di situ. Kemudian, kamu juga bisa makan dan minum sambil bersantai di kafe tepi danau. Ada pula gazebo untuk duduk dan berfoto, serta tempat outbound.","Jl. Warnasari, Pangalengan, Bandung, Jawa Barat",Jl. Warnasari,Pangalengan,Bandung,Jawa Barat,24 jam,100000,4.5,92,-7.19442,107.5448
C0037,Puncak Guha Bungbulang,"Puncak Guha Bungbulang adalah pembatas antara darat dan laut yang berupa tebing tinggi. Suasananya terkesan dramatis. Gemuruh ombak yang memecah dasar tebing pun terdengar keras. Namun, banyak orang yang menyukai suasana ini.","Jl. Sinarjaya, Bungbulang, Kabupaten Garut, Jawa Barat ",Jl. Sinarjaya,Bungbulang,Garut,Jawa Barat,24 jam,5000,"2,437",4.5,-7.536107416,107.4973729
C0038,Karacak Valley,"Karacak Valley atau Lembah Karacak merupakan lembah dari Gunung Karacak. Sehingga, begitu banyak kamu temui pepohonan rimbun di sana, termasuk pinus-pinus. Di mana, ada deretan pinus, maka di situlah ada banyak wisatawan yang mencari tempat selfie dan tempat camping.","Jl. Karacak Valley Margawati, Sukanegla, Kec. Garut Kota, Kabupaten Garut, Jawa Barat ",Jl. Karacak,Garut Kota,Garut,Jawa Barat,24 jam,15000,"1,369",4.5,-7.269138927,107.9514195
C0039,Papandayan Camping Ground,"Papandayan Camping Ground adalah lokasi glamping untuk keluarga. Cottage untuk glamping terletak di atas pohon bak rumah pohon. Fasilitas di dalamnya meliputi kamar mandi dalam, tempat tidur, dan teras.","Jl. Kawah Papandayan, Sirnajaya, Cisurupan, Kabupaten Garut, Jawa Barat  ",Jl. Kawah Papandayan,Cisurupan,Garut,Jawa Barat,08.30 - 17.00 WIB,250000,934,4.4,-7.302151761,107.7583159
C0040,Pondok Saladah,Pondok Saladah adalah lokasi camping pendaki yang akan ke Papandayan. Saladah sendiri diambil dari nama tanaman yang tumbuh di selokan-selokannya. Saladah biasa dimanfaatkan sebagai makanan pelengkap. Rasanya seperti taoge dan teksturnya renyah.,"Jl. Kawah Papandayan, Sirnajaya, Cisurupan, Kabupaten Garut, Jawa Barat ",Jl. Kawah Papandayan,Cisurupan,Garut,Jawa Barat,07.00 - 18.00 WIB,35000,525,4.7,-7.315313801,107.7231316
C0041,Cilopang Adventure Camp,"Cilopang Adventure Camp menyajikan perkemahan dengan nuansa bak Amerika Utara. Sejauh mata memandang adalah hamparan rumput. Sementara itu, di kejauhan terdapat pemandangan gunung yang menjulang.","Jl. Rancabango, Kec. Tarogong Kaler, Kabupaten Garut, Jawa Barat ",Jl. Rancabango,Tarogong Kaler,Garut,Jawa Barat,24 jam,15000,263,4.4,-7.183197377,107.8696967
C0042,Camping Ground  Situ Cibeureum,"Danau Cibeureum tersembunyi di dalam hutan pinus. Ini membuatnya terlihat seperti site hutan ajaib di film-film fantasi. Di lokasi ini, juga ada tujuh mata air. Mata-mata air itu antara lain Gunung Ampel, Gunung Masigit, Curug Campaka, Gunung Hileud, Cikole, Cibuni Larang, dan Cibeureum.","Jl. Sarimukti, Pasirwangi, Garut, Jawa Barat ",Jl. Sarimukti,Pasirwangi,Garut,Jawa Barat,24 jam,30000,237,4.4,-7.161227341,107.8077897
C0043,Hutan Mati Gunung Papandayan,"Istilah “hutan mati” disematkan lantaran dulu, area ini terbakar hebat oleh letusan gunung maha dahsyat. Kemudian, tumbuhlah pohon-pohon cantigi di sana. Keberadaan pepohonan cantigi berbatang hitam memberikan kesan gothic sekaligus dramatis di sana. Warnanya kontras dengan tanah yang berwarna putih.","Jl. Karamat Wangi, Cisurupan, Garut, Jawa Barat ",Jl. Karamat Wangi,Cisurupan,Garut,Jawa Barat,24 jam,35000,182,4.8,-7.320060917,107.7255017
C0044,Dano Cilopang Garut,"Danau ini memiliki luas hingga satu hektar. Nuansanya tenang dan sejuk, karena ia berada di atas bukit. Pengunjung juga dapat menyewa perahu untuk menjelajahi danau ini.","Jl. Rancabango, Tarogong Kaler, Garut, Jawa Barat ",Jl. Rancabango,Tarogong Kaler,Garut,Jawa Barat,24 jam,15000,75,4.3,-7.18326593,107.8704627
C0045,Buffalo Hill,"Buffalo Hill pada dasarnya adalah tempat pengangonan kerbau di kawasan Gunung Kendang. Lokasinya tidak terlalu jauh dari Gunung Papandayan. Bahkan, ia merupakan salah satu pos pendakian, lho. Area sabana ini ditumbuhi oleh rerumputan yang berwarna hijau, membuatnya seperti permadani. Dari sana, kamu bisa melihat gunung berkabut dengan jelas. Pemandangan cantik inilah yang membuatnya dijadikan lokasi camping favorit.","Jl. Cigangsa Situsari, Situsari, Cisurupan, Kabupaten Garut, Jawa Barat ",Jl. Cigangsa Situsari,Cisurupan,Garut,Jawa Barat,24 jam,40000,105,4.5,-7.2579581,107.7480416
C0046,Campgrounds Kiara Payung,Campgrounds Kiara Payung adalah salah satu tempat camping terbaik di Sumedang. Berbagai aktivitas camping dari sekolah dan komunitas sering diselenggarakan di Kiara Payung. Bumi perkemahan ini sudah berstandar nasional dan memiliki luas mencapai 66 hektar.,"Jl. Kiarapayung, Kec. Sukasari, Kabupaten Sumedang, Jawa Barat",Jl. Kiarapayung,Sukasari,Sumedang,Jawa Barat,24 jam,100000,"1,699",4.3,-6.896806983,107.7642252
C0047,Nangorak Camp,"Nangorak Camp berada di Desa Margamekar, sekitar 10 kilometer di arah selatan Kabupaten Sumedang. Lokasinya tidak jauh dari pusat kota dan bisa dicapai dengan mudah menggunakan mobil atau sepeda motor.","Jl. Margamekar, Kec. Sumedang Sel, Kabupaten Sumedang, Jawa Barat",Jl. Margamekar,Sumedang Sel,Sumedang,Jawa Barat,24 jam,15000,404,4.5,-6.912188467,107.9155276
